RUS,ENG
"Речь идет о том самом стрессе, причиной которого являются загрязнение окружающей среды, прием сомнительных медикаментов и неполноценное питание.","It is about the very stress caused by environmental pollution, questionable medications, and inadequate nutrition."
"Симптомы оксидативного стресса, возникающие у детей, уже включены в перечень нарушений, объединяемых термином «синдром дефицита внимания и гиперактивности».","Symptoms of oxidative stress in children have already been included in the list of disorders grouped under the term ""Attention Deficit Hyperactivity Disorder."""
"Но, к сожалению, в этом перечне пока все еще отсутствуют другие расстройства, часто встречающиеся как у детей, так и у взрослых.","However, unfortunately, this list still lacks other disorders that are common in both children and adults."
"В их числе нарушения когнитивных функций, ведущие к депрессии, формированию вредных привычек и проблемам в общении.","Among them are cognitive impairments leading to depression, the formation of harmful habits, and communication problems."
"Остановив действие оксидативного стресса, из-за которого у меня проявилась болезнь Паркинсона, я тем самым победил и СДВГ.","By stopping the effects of oxidative stress that caused my Parkinson's disease, I thus overcame ADHD."
"Позже мне стало ясно, что одни и те же нарушения в работе организма в раннем возрасте могут привести к возникновению СДВГ, а в старшем – к болезни Паркинсона, деменции и болезни Альцгеймера.Исцеление мозга
   О том, как я добился полного исцеления от болезни Паркинсона, рассказано в моей книге «Марс и Венера.","Later, it became clear to me that the same dysfunctions in the body at a young age can lead to ADHD, and in older age to Parkinson's disease, dementia, and Alzheimer's disease."
"Диета и упражнения», вышедшей в свет 12 лет назад.","""The diet and exercise,"" published 12 years ago."
"В ней я делюсь своими выводами о том, как изменить режим питания и физической активности, чтобы добиться улучшения работы мозга, нормализовать массу тела и в целом привести отношения между мужчиной и женщиной к гармонии.","In it, I share my conclusions on how to change diet and physical activity to improve brain function, normalize body weight, and generally bring harmony to the relationship between a man and a woman."
По сравнению с книгой «Марс и Венера.,"Compared to the book ""Mars and Venus."""
Диета и упражнения» новый цикл книг содержит больше «прозрений» и свежих сведений.,"""Diet and exercise"" new book series contains more ""insights"" and fresh information."
Благодаря этой информации ваше путешествие к идеальному здоровью будет более чем успешным.,"Thanks to this information, your journey to perfect health will be more than successful."
"Новые схемы лечения позволили мне не просто исцелиться от болезни Паркинсона и СДВГ, а получить доступ к полному объему потенциала своего сознания.",New treatment methods allowed me not only to heal from Parkinson's disease and ADHD but also to access the full potential of my consciousness.
"Такого может достичь любой из вас после того, как победит СДВГ и восстановит нормальное функционирование мозга.",Any of you can achieve this after overcoming ADHD and restoring normal brain function.
"На протяжении почти 10 лет многие взрослые и дети применяют на практике концепцию исцеления от СДВГ, опробованную мной на самом себе, и достигают впечатляющих перемен.","For nearly 10 years, many adults and children have been applying the concept of healing from ADHD that I tested on myself and are achieving impressive changes."
"Вместе с тем, как мне удалось выяснить в результате собственного исследования, улучшение памяти и лечение СДВГ – это лишь первые маленькие шаги, с которых начинается путь поиска и раскрытия бесчисленных граней человеческой гениальности, заключенной в каждом из нас.","At the same time, as I was able to find out through my own research, improving memory and treating ADHD are just the first small steps in the journey of exploring and uncovering the countless facets of human genius that reside within each of us."
Мы начнем со способов преодоления СДВГ и постепенно перейдем к методам нормализации работы мозга.,We will start with ways to overcome ADHD and gradually move on to methods of normalizing brain function.
"Вам предстоит узнать, как пробудить в себе интеллектуальные и духовные силы, чтобы привычную серую жизнь сделать интересной и яркой.",You are about to learn how to awaken your intellectual and spiritual powers to make a mundane gray life interesting and vibrant.
"Кроме того, мы обсудим разницу в проявлениях СДВГ у мужчин и женщин, а также рассмотрим значимость влияния этого синдрома на взаимоотношения полов.","In addition, we will discuss the differences in ADHD manifestations in men and women, as well as examine the significance of the syndrome's impact on gender relationships."
"Во многих случаях врачи не ставят диагноз СДВГ, потому что симптомы бывают «неуловимы».","In many cases, doctors do not diagnose ADHD because the symptoms can be ""elusive."""
"Они варьируются не только в зависимости от половой принадлежности больного, но и в зависимости от возраста.СДВГ у женатых мужчин
   Одним из следствий СДВГ у женатого мужчины может быть потеря интереса к семейной жизни и излишняя сосредоточенность на карьере.",They vary not only depending on the gender of the patient but also on their age. ADHD in married men One of the consequences of ADHD in a married man may be a loss of interest in family life and an excessive focus on career.
Жены в таких случаях начинают чувствовать себя ненужными.,Wives in such cases begin to feel unnecessary.
"Супруг вдруг как будто превращается в робота с узкой специализацией, выборочным слухом и «туннельным зрением».","A spouse suddenly seems to turn into a robot with a narrow specialization, selective hearing, and ""tunnel vision."""
"Порой кажется, что из памяти этого робота стерто стремление участвовать в жизни своих детей и любимой женщины.",Sometimes it seems that this robot's memory has been erased of the desire to participate in the lives of his children and beloved woman.
"Однажды ко мне на консультацию пришли Джефф и Кэрол, прожившие в браке 10 лет.","One day, Jeff and Carol, who had been married for 10 years, came to me for a consultation."
Кэрол была готова развестись.,Carol was ready to get a divorce.
"Она сказала: «Умом я понимаю, что он меня любит, но почему-то не чувствую того внимания и теплоты, каких хотелось бы.","She said, ""I understand with my mind that he loves me, but for some reason, I don't feel the attention and warmth I would like."""
"Я пыталась начать перемены к лучшему с себя, пыталась сделать наши отношения более близкими, но довольно скоро стала замечать, что мои старания остаются без ответа.","I tried to start changing for the better with myself, I tried to make our relationship closer, but quite soon I began to notice that my efforts remained unanswered."
"Кажется, чем больше я вкладываю душу в нашу семейную жизнь, тем примитивнее и холоднее она становится.","It seems that the more I invest my soul into our family life, the more primitive and colder it becomes."
"Иногда складывается впечатление, что муж вообще забыл о моем существовании».",Sometimes it seems like my husband has completely forgotten I exist.
"Джефф искренне недоумевал: «Странно, что ты так думаешь.","Jeff was genuinely puzzled, ""Strange that you think so."""
"Я много работаю, получаю хорошие деньги, нахожу время даже для того, чтобы помочь тебе выполнить некоторые дела по дому.","I work a lot, earn good money, and even find time to help you with some chores around the house."
Мало кто из моих друзей поступает так же.,Few of my friends do the same.
"Чего же тебе не хватает?»
   У Кэрол был наготове внушительный список.","""What are you lacking?"" Carol had an impressive list at the ready."
"Больше всего ей недоставало ощущения, что она вообще нужна своему мужчине.",What she missed most was the feeling that she was needed by her man.
"«Я чувствую, что не интересна тебе, – сказала она.","""I feel like I'm not interesting to you,"" she said."
"– Ты много часов работаешь за компьютером, а когда я начинаю с тобой разговаривать, ты будто бы мыслями где-то очень далеко от меня.","You work many hours on the computer, and when I start talking to you, it's like your mind is somewhere far away from me."
"Приношу тебе что-нибудь поесть, а ты будто не замечаешь этого, даже “спасибо” не говоришь.","I bring you something to eat, and you act like you don't even notice, not even saying ""thank you."""
"Такое ощущение, что мы и не супруги вовсе, а просто знакомые.","It feels like we're not even spouses, just acquaintances."
"Что случилось с нашей любовью?»
   Джефф попытался объяснить: «Любовь никуда не исчезла.","""What happened to our love?"" Jeff tried to explain: ""Love hasn't disappeared anywhere."""
"Я правда люблю тебя и хочу, чтобы ты была счастлива.",I truly love you and want you to be happy.
"Просто иногда мне трудно сфокусировать внимание на том, что ты говоришь.",It's just that sometimes I find it hard to focus on what you're saying.
"Я машинально начинаю думать о задачах, которые надо будет выполнять на работе, или о еще каких-нибудь незавершенных делах».",I automatically start thinking about tasks that need to be done at work or about some other unfinished business.
У Джеффа были классические симптомы СДВГ.,Jeff had classic symptoms of ADHD.
"Не понимая этого, Кэрол принимала все на свой счет и сильно переживала.","Unaware of this, Carol took everything personally and was very upset."
"Ей казалось, что она своему мужу не нужна.",She felt that she was not needed by her husband.
"В ходе коуч-сессии мы уделяли основное внимание работе над таким навыком, как адекватное восприятие слов собеседника.","During the coaching session, we focused primarily on developing the skill of adequately perceiving the words of the interlocutor."
"И Джефф, и Кэрол были потрясены результатами нашей совместной работы.",Both Jeff and Carol were astonished by the results of our collaboration.
"Супруги почувствовали, что им удалось перейти на новый, более высокий уровень отношений.","The spouses felt that they had managed to move to a new, higher level of their relationship."
"Эта практика дополняла базовую схему лечения СДВГс помощью натуральных средств, которую я назначил Джеффу.",This practice supplemented the basic ADHD treatment plan with natural remedies that I prescribed for Jeff.
"Когда взаимоотношения этой замечательной пары стали заметно улучшаться, Джефф поделился своими позитивными впечатлениями от приема моих добавок: «Моя жизнь стала намного яснее и интереснее.","When the relationship of this wonderful couple began to noticeably improve, Jeff shared his positive impressions of taking my supplements: ""My life has become much clearer and more interesting."""
Как будто бы я перенастроил свое восприятие реальности и вместо режима монохромной палитры установил нормальное полноцветное изображение.,It's as if I've recalibrated my perception of reality and switched from a monochrome palette mode to a normal full-color image.
"Я успеваю выполнить намного больше дел, чем мне удавалось прежде.",I manage to accomplish much more than I was able to before.
"А главное, у нас с Кэрол наладилось полное взаимопонимание.","Most importantly, Carol and I have achieved complete mutual understanding."
"Сейчас все в точности так, как было в самом начале наших отношений».СДВГ у холостяков
   Синдром дефицита внимания и гиперактивности способен помешать человеку построить полноценные, по-настоящему крепкие отношения, потому что истощает запас душевных сил, необходимых для преданности.","Right now, everything is exactly as it was at the very beginning of our relationship."
"К сожалению, эта проблема обычно не рассматривается специалистами как расстройство, относящееся к термину СДВГ.","Unfortunately, this issue is not usually considered by specialists as a disorder pertaining to the term ADHD."
Ко мне обратился 39-летний Стивен.,A 39-year-old Steven approached me.
Он ни разу не был женат.,He has never been married.
"В ходе консультаций мужчина признался, что неспособен хранить верность.","During the consultations, the man admitted that he is unable to remain faithful."
"«После того как мои отношения с женщиной становятся максимально близкими, – сказал Стивен, – интерес к ней быстро угасает и мне начинает казаться, что „на другой лужайке трава зеленее“».","""After my relationships with a woman become as close as possible,"" said Stephen, ""my interest in her quickly fades, and it starts to seem to me that 'the grass is greener on the other side.'"""
"Проблема этого клиента заключалась в том, что желание обрести единственную любимую уступало место стремлению регулярно совершать пусть и не очень значительные, но яркие победы на личном фронте.",The problem of this client was that the desire to find a sole beloved one was overshadowed by the urge to regularly achieve not very significant but vivid victories on the personal front.
"Каждый раз погоня за успехом начиналась и развивалась со страстной увлеченностью, а заканчивалась приступом равнодушия.","Each pursuit of success began and developed with passionate enthusiasm, but ended with a bout of indifference."
"Многие специалисты считают, что подобная проблема говорит о наличии у человека самой настоящей фобии – боязни вступать в близкие отношения.",Many experts believe that such a problem indicates the presence of a real phobia in a person - the fear of entering into close relationships.
"По убеждению многочисленных специалистов в области психологии и психотерапии, случай Стивена требует анализа с точки зрения его отношений с матерью.","According to numerous experts in psychology and psychotherapy, Steven's case requires analysis from the perspective of his relationship with his mother."
"Однако я был уверен, что у моего клиента стандартное проявление СДВГ.","However, I was sure that my client had a standard manifestation of ADHD."
"Я порекомендовал ему на протяжении трех месяцев соблюдать схему лечения, включающую употребление натуральных добавок, которые предназначены, во-первых, конечно, для исцеления от СДВГ, а во-вторых, для повышения уровня тестостерона.","I recommended that he follow a treatment plan for three months, which includes taking natural supplements designed, firstly, of course, for healing ADHD, and secondly, for boosting testosterone levels."
"Более того, я провел примерно шесть консультаций, в ходе которых делал акцент на улучшение способности Стивена осознавать ошибочность некоторых действий на личном фронте и понимать суть полноценных отношений с женщиной.","Moreover, I conducted approximately six consultations, during which I focused on enhancing Steven's ability to recognize the wrongness of certain actions in his personal life and understand the essence of meaningful relationships with women."
"Он осознал, что СДВГ, помимо всего прочего, был причиной его нездоровой увлеченности интенсивными физическими нагрузками и чрезмерного интереса к просмотру порнофильмов в интернете.","He realized that ADHD, among other things, was the reason for his unhealthy obsession with intense physical exercise and excessive interest in watching pornography online."
"«Оказывается, вот эти проявления гиперактивности мешали мне адекватно оценивать себя, свои социальные связи и не позволяли сфокусироваться на полноценном, длительном общении с одной единственной женщиной», – пришел к выводу Стивен.","""It turns out these manifestations of hyperactivity prevented me from adequately assessing myself, my social connections, and did not allow me to focus on full, long-term communication with one single woman,"" Stephen concluded."
"В тот период он сумел в полной мере восстановить в себе чувства к той представительнице прекрасного пола, с которой уже явно намечался разрыв, как это бывало у Стивена и раньше с другими дамами.","During that period, he managed to fully restore his feelings for that lady with whom a breakup was already clearly impending, as had happened with Stephen before with other women."
"Мой клиент добился того, что впервые за долгие годы, вместо быстрого погружения в очередную интрижку, наконец-то обрел спутницу жизни и настоящее личное счастье.","My client achieved that for the first time in many years, instead of quickly diving into another fling, he finally found a life partner and true personal happiness."
"Прежде ему бы и в голову не пришло, что неурядицы на любовном фронте были следствием СДВГ.","Previously, it would never have occurred to him that the troubles on the romantic front were a result of ADHD."
"Стивен говорил: «До того как я начал консультироваться с вами, я был уверен, что мне просто фатально не везет в любви и не повезет уже никогда».Чего не знают и не готовы признать эксперты
   Многие специалисты не располагают полной информацией ни о симптомах СДВГ у взрослых людей, ни о натуральных средствах лечения этого синдрома.","Stephen said, ""Before I started consulting with you, I was sure that I was just fatally unlucky in love and would never be lucky."" What experts don't know and aren't ready to admit: Many specialists do not have complete information about ADHD symptoms in adults or about natural treatments for this syndrome."
"Кроме того, большинство врачей и исследователей не признают ведущей роли СДВГ в возникновении наиболее частых проблем между мужчинами и женщинами.","Moreover, most doctors and researchers do not recognize ADHD as playing a leading role in the occurrence of the most common problems between men and women."
"Разумеется, для преодоления трудностей в отношениях нужно обращаться за помощью к специалистам в соответствующей области, работать над собой, улучшать навыки общения и так далее.","Of course, to overcome difficulties in relationships, one should seek help from specialists in the respective field, work on oneself, improve communication skills, and so on."
"Однако, если при этом не решать проблему СДВГ, продвинуться далеко вперед получится едва ли.","However, if the issue of ADHD is not addressed, it is unlikely that much progress will be made."
"Даже профессиональные врачи, которые долгое время занимаются лечением людей, страдающих СДВГ, не осознают, насколько сильное отрицательное влияние оказывает этот недуг на взаимоотношения полов.",Even professional doctors who have been treating people with ADHD for a long time do not realize how strongly this condition negatively affects gender relationships.
"Однажды, ужиная с очень известным писателем, экспертом по СДВГ, я отметил, что у него тоже есть явные симптомы этого синдрома.","Once, while having dinner with a very famous writer, an expert on ADHD, I noted that he also had clear symptoms of this syndrome."
"Было видно, что он не ожидал услышать такое.",It was clear that he didn't expect to hear such a thing.
"«Но у меня нет никаких трудностей с фокусированием внимания, – ответил писатель.","""But I have no difficulties with focusing my attention,"" the writer replied."
"– Я умею настолько глубоко сосредоточиваться на каком-либо деле, что могу даже при этом не услышать ни слова из того, что мне говорит жена.",I can focus so deeply on something that I might not even hear a single word my wife says to me.
Меня в такие минуты ничто неспособно отвлечь».,"In such moments, nothing can distract me."
"Я улыбнулся и объяснил, в чем заключается его проблема: «Я имею в виду именно эту склонность “отключаться” от разговора с женой.","I smiled and explained what his problem was: ""I mean this very tendency to 'disconnect' from a conversation with his wife."""
"Она наверняка сказала бы, что ты совсем не желаешь ее слушать».",She would definitely say that you don't want to listen to her at all.
"Если даже знаменитый, авторитетный исследователь в области СДВГ не может распознать у себя признаки тех расстройств, изучением которых он занимается, чего уж говорить обо всех остальных людях.","Even if a famous, authoritative researcher in the field of ADHD cannot recognize the signs of those disorders in himself, which he studies, what can be said about all other people."
"После того ужина я понял, что надо написать книгу о способах исцеления от СДВГ.","After that dinner, I realized that I needed to write a book about ways to heal from ADHD."
"Симптомы этой группы заболеваний заметить трудно потому, что они проявляются в разных обстоятельствах по-разному.",The symptoms of this group of diseases are hard to notice because they manifest differently under various circumstances.
К тому же характер протекания СДВГ меняется с возрастом.,"Moreover, the nature of ADHD changes with age."
"В этой книге мы рассмотрим, как самые первые «сигналы» СДВГ, возникающие еще в ранние годы жизни человека, со временем трансформируются в весьма ощутимые расстройства и нарушения, препятствующие нормальному функционированию организма.","In this book, we will examine how the very first ""signals"" of ADHD, which arise in the early years of a person's life, transform over time into significant disorders and impairments that hinder normal bodily functioning."
"Мы уже знаем, что дети, у которых диагностирован синдром дефицита внимания и гиперактивности, испытывают такие трудности, как повышенная тревожность, импульсивность, неумение фокусировать внимание и спокойно сидеть в классе.","We already know that children diagnosed with Attention Deficit Hyperactivity Disorder experience difficulties such as increased anxiety, impulsivity, inability to focus attention, and sit calmly in class."
"Но все это только верхушка айсберга.СДВГ у замужних женщин
   Прекрасный пол тоже многого не знает о симптоматике СДВГ.",But all of this is just the tip of the iceberg. ADHD in married women The fair sex also knows little about the symptoms of ADHD.
Между тем многим женщинам свойственно одно из самых распространенных проявлений этого недуга – склонность уделять массу времени и сил помощи другим людям на фоне неспособности к концентрации внимания для реализации собственных желаний и целей.,"Meanwhile, many women tend to exhibit one of the most common manifestations of this ailment – the tendency to devote a lot of time and effort to helping others while being unable to concentrate on achieving their own desires and goals."
Это приводит к физической и моральной «загнанности».,"This leads to physical and moral ""exhaustion""."
Приведу еще один пример из моих консультаций.,Let me provide another example from my consultations.
Вэлери и Дэйв прожили в браке почти 9 лет.,Valerie and Dave have been married for almost 9 years.
"Оба с грустью осознавали, что от прежней страстной любви уже не осталось и следа.",Both sadly realized that there was no trace left of their former passionate love.
"«У Вэлери все время стресс, – жаловался Дэйв, – и что бы я ни делал, она постоянно всем недовольна.","""Valerie is stressed all the time,"" complained Dave, ""and no matter what I do, she's constantly dissatisfied with everything."""
"Ни о какой игривости, ни о каких позитивных эмоциях у нас и речи больше не идет.",There is no longer any talk of playfulness or positive emotions.
Ей даже секс перестал быть интересен».,She even lost interest in sex.
Что же случилось с Вэлери?,What happened to Valerie?
"Она, как и многие современные женщины, разучилась расслабляться.","Like many modern women, she has forgotten how to relax."
"На консультации она сказала: «У меня длиннющий список дел, они имеют отношение к совершенно разным сторонам жизни, и каждое из них требует внимания.","At the consultation, she said, ""I have an incredibly long to-do list that relates to completely different aspects of life, and each of them requires attention."""
"У меня не остается ни минуты для того, чтобы обратить внимание на свои собственные желания.",I don't have a minute left to pay attention to my own desires.
„Как белка в колесе“ – это про меня.,"""Like a hamster on a wheel"" – that's about me."
"Мне бы хотелось, чтобы в сутках было гораздо больше часов, двадцать четыре мне мало».",I wish there were many more hours in a day; twenty-four is not enough for me.
"Женщина не понимала, почему у нее исчезло сексуальное влечение к мужу.",The woman didn't understand why she lost sexual attraction to her husband.
"«Не знаю, в чем причина, – сказала она.","""I don't know the reason,"" she said."
"– Наверное, все дело в этой повседневной спешке.",It's probably all about this everyday rush.
"Я хотела бы отказаться от нее, но боюсь, что, как только позволю себе расслабиться, все дела пойдут под откос.","I would like to give it up, but I'm afraid that as soon as I allow myself to relax, everything will go downhill."
Я стремлюсь контролировать свою жизнь».,I strive to control my life.
"Улучшив навык общения, Вэлери осознала, что, чем чаще она делится с Дэйвом своими мыслями и переживаниями, тем более близкими становятся их отношения.","By improving her communication skills, Valerie realized that the more often she shared her thoughts and feelings with Dave, the closer their relationship became."
"При этом постоянный стресс, который она испытывала, постепенно сходит на нет.","At the same time, the constant stress she was experiencing gradually comes to naught."
"Более того, уделяя внимание в первую очередь своим собственным желаниям и целям, женщина заметила, что у нее появилось много душевных сил для того, чтобы помогать другим людям.","Moreover, by focusing primarily on her own desires and goals, the woman noticed that she had gained a lot of mental strength to help others."
"И теперь у нее это стало получаться гораздо лучше, чем прежде.",And now she has become much better at it than before.
"Что касается Дэйва, то он прошел мой онлайн-курс «Секреты успешных взаимоотношений», включающий в себя консультации в режиме реального времени, и наконец-то стал для своей супруги самым чутким собеседником.","As for Dave, he completed my online course ""Secrets of Successful Relationships,"" which includes real-time consultations, and finally became the most attentive conversational partner for his wife."
"Кроме того, пара соблюдала мою базовую схему лечения СДВГ.","Moreover, the couple followed my basic ADHD treatment regimen."
"Дополнительно я порекомендовал Вэлери несколько добавок, предназначенных для нормализации гормонального фона и поддержания хорошего эмоционального состояния.","Additionally, I recommended Valerie several supplements intended to normalize hormonal balance and maintain a good emotional state."
Уже через несколько недель интимная сторона жизни Вэлери и Дэйва наладилась.,"Within a few weeks, the intimate side of Valerie and Dave's life improved."
"И это закономерно, ведь ощущать полноценное сексуальное влечение представительницы прекрасного пола могут, только если они не перегружены огромным количеством повседневных задач и важных срочных дел, выкачивающих силы.","And this is natural, because women can only feel full sexual desire if they are not overwhelmed by a huge number of daily tasks and important urgent matters that drain their energy."
"Обычно СДВГ вынуждает женщину фокусироваться на стремлении помогать всем близким и знакомым, но только не самой себе.","ADHD usually forces a woman to focus on striving to help all her relatives and acquaintances, but not herself."
"А еще из-за этого синдрома многие женщины приобретают склонность сильно переживать о том, чего они еще не достигли, и не обращать почти никакого внимания на те блага, которые у них уже есть.СДВГ у незамужних женщин
   Незамужние женщины, страдающие СДВГ, часто имеют искаженное восприятие мира, которое заключается в ложном чувстве независимости от близких отношений с мужчинами.В этом случае они сосредоточивает максимум времени и внимания на самореализации в карьере, бизнесе или какой-то общественной миссии, чтобы заслужить уважение окружающих.","Moreover, because of this syndrome, many women tend to worry a lot about what they have not yet achieved and pay almost no attention to the benefits they already have. ADHD in single women Single women with ADHD often have a distorted perception of the world, which manifests as a false sense of independence from close relationships with men. In this case, they focus maximum time and attention on self-realization in their careers, business, or some social mission to earn the respect of those around them."
"Женщина перестает прислушиваться к своим естественным устремлениям, теряет интерес к поискам спутника жизни и созданию семьи.","A woman ceases to listen to her natural aspirations, loses interest in finding a life partner and creating a family."
Все это – из опасения не успеть добиться выдающихся результатов на выбранном ею поприще.,All this is out of the fear of not having enough time to achieve outstanding results in her chosen field.
"Она забывает о своем истинном «Я» и привыкает оценивать свои поступки только с точки зрения их полезности дляколлег, друзей и прочих окружающих.","She forgets her true self and gets used to evaluating her actions only in terms of their usefulness to colleagues, friends, and others around her."
"Это, разумеется, влечет за собой неумолимое усиление стресса.","This, of course, entails an inexorable increase in stress."
"Моей клиентке Синди было 45 лет, когда она, осознав, что хочет наконец обрести подлинное счастье в личной жизни, решила пройти мой курс исцеления.",My client Cindy was 45 years old when she realized she wanted to finally find true happiness in her personal life and decided to take my healing course.
«Мужчины не замечают меня.,Men don't notice me.
В чем дело?» – спрашивала она.,"""What is the matter?"" she asked."
Ответ не требовал долгого и тщательного анализа.,The answer did not require long and thorough analysis.
"Синди – бизнес-леди с очень жестким графиком, не позволявшим выделить время для близких и длительных отношений с мужчиной.",Cindy is a business lady with a very tight schedule that didn't allow her to allocate time for close and long-term relationships with a man.
Она даже не испытывала ощутимого стремления к этому.,She didn't even have a tangible desire for it.
"Моя клиентка уже долгое время отрицала ту часть своей сущности, которой была нужна любовь.",My client had long denied the part of her that needed love.
"Именно эта привычка заглушать искренние порывы своего «Я» и привела к тому, что Синди не чувствовала полноту жизни.","It was this habit of suppressing the genuine impulses of her ""self"" that led to Cindy not feeling the fullness of life."
"Каждая женщина может самостоятельно добиться больших успехов в карьере, но она так и не сможет стать по-настоящему счастливой, если будет оставаться в гордом одиночестве.","Every woman can achieve great success in her career on her own, but she will never be truly happy if she remains proudly alone."
"Мужчины тянутся к тем женщинам, которые готовы к отношениям, и всегда интуитивно распознают тех, кто перегружен заботами и не желает никого к себе подпускать.",Men are drawn to women who are ready for a relationship and always intuitively recognize those who are overwhelmed with concerns and unwilling to let anyone in.
"Синди сказала: «Мне кажется, что уже пора устраивать личную жизнь.","Cindy said, ""I think it's time to sort out my personal life."""
"Хотя, честно говоря, я не ощущаю сильного желания общаться с мужчинами.","However, to be honest, I don't feel a strong desire to communicate with men."
"Как это объяснить?»
   Я ответил: «Вы не нуждаетесь в материальной поддержке со стороны сильного пола, но вам, безусловно, нужен любимый человек.","I replied: ""You do not need material support from the stronger sex, but you certainly need a loved one."""
